Genes,LB_Model,Sputum_Model,Pyruvate_Model,Succinate_Model
PA1610,1,1,1,1
PA1806,1,1,1,1
PA2967,1,1,1,1
PA3117,1,1,1,1
PA0025,1,1,1,1
PA0265,1,1,1,1
PA0350,1,1,1,1
PA1609,1,1,1,1
PA1796,1,1,1,1
PA2977,1,1,1,1
PA3164,1,1,1,1
PA3650,1,1,1,1
PA3770,1,1,1,1
PA3803,1,1,1,1
PA4557,1,1,1,1
PA4666,1,1,1,1
PA4759,1,1,1,1
PA3333,1,1,1,1
PA3645,1,1,1,1
PA3651,1,1,1,1
PA0581,1,1,1,1
PA2969,1,1,1,1
PA1010,1,1,1,1
PA2584,1,1,1,1
PA3639,1,1,1,1
PA4847,1,1,1,1
PA4848,1,1,1,1
PA3112,1,1,1,1
PA3659,1,1,1,1
PA5425,1,1,1,1
PA0330,1,1,1,1
PA0342,1,1,1,1
PA0432,1,1,1,1
PA0546,1,1,1,1
PA0548,1,1,1,1
PA0582,1,1,1,1
PA0607,1,1,1,1
PA0655,1,1,1,1
PA0904,1,1,1,1
PA0945,1,1,1,1
PA1013,1,1,1,1
PA1162,1,1,1,1
PA1681,1,1,1,1
PA1758,1,1,1,1
PA1792,1,1,1,1
PA1959,1,1,1,1
PA2165,1,1,1,1
PA2629,1,1,1,1
PA2964,1,1,1,1
PA2968,1,1,1,1
PA2981,1,1,1,1
PA3108,1,1,1,1
PA3111,1,1,1,1
PA3134,1,1,1,1
PA3163,1,1,1,1
PA3171,1,1,1,1
PA3296,1,1,1,1
PA3627,1,1,1,1
PA3633,1,1,1,1
PA3637,1,1,1,1
PA3643,1,1,1,1
PA3644,1,1,1,1
PA3646,1,1,1,1
PA3654,1,1,1,1
PA3666,1,1,1,1
PA3686,1,1,1,1
PA3763,1,1,1,1
PA3769,1,1,1,1
PA3807,1,1,1,1
PA4003,1,1,1,1
PA4043,1,1,1,1
PA4044,1,1,1,1
PA4050,1,1,1,1
PA4406,1,1,1,1
PA4411,1,1,1,1
PA4412,1,1,1,1
PA4414,1,1,1,1
PA4415,1,1,1,1
PA4416,1,1,1,1
PA4417,1,1,1,1
PA4450,1,1,1,1
PA4569,1,1,1,1
PA4655,1,1,1,1
PA4662,1,1,1,1
PA4669,1,1,1,1
PA4670,1,1,1,1
PA4693,1,1,1,1
PA4748,1,1,1,1
PA4749,1,1,1,1
PA4750,1,1,1,1
PA4770,1,1,1,1
PA4854,1,1,1,1
PA4855,1,1,1,1
PA4938,1,1,1,1
PA4957,1,1,1,1
PA5034,1,1,1,1
PA5038,1,1,1,1
PA5039,1,1,1,1
PA5063,1,1,1,1
PA5223,1,1,1,1
PA5243,1,1,1,1
PA5259,1,1,1,1
PA5260,1,1,1,1
PA5278,1,1,1,1
PA5322,1,1,1,1
PA5336,1,1,1,1
PA5357,1,1,1,1
PA5358,1,1,1,1
PA5549,1,1,1,1
PA5552,1,1,1,1
PA0402,0,1,1,1
PA2876,0,1,1,1
PA3050,0,1,1,1
PA3527,0,1,1,1
PA5331,0,1,1,1
PA3118,0,0,1,1
PA3195,0,0,1,1
PA0430,0,0,1,1
PA3418,0,0,1,1
PA3736,0,0,1,1
PA4007,0,0,1,1
PA4448,0,0,1,1
PA4694,0,0,1,1
PA0035,0,0,1,1
PA0036,0,0,1,1
PA3121,0,0,1,1
PA3120,0,0,1,1
PA4443,0,0,1,1
PA4442,0,0,1,1
PA4695,0,0,1,1
PA4696,0,0,1,1
PA0353,0,0,1,1
PA0390,0,0,1,1
PA0552,0,0,1,1
PA0555,0,0,1,1
PA0650,0,0,1,1
PA0651,0,0,1,1
PA0895,0,0,1,1
PA1756,0,0,1,1
PA1843,0,0,1,1
PA3113,0,0,1,1
PA3166,0,0,1,1
PA3525,0,0,1,1
PA3635,0,0,1,1
PA3735,0,0,1,1
PA4449,0,0,1,1
PA4565,0,0,1,1
PA4732,0,0,1,1
PA5066,0,0,1,1
PA5067,0,0,1,1
PA5131,0,0,1,1
PA5141,0,0,1,1
PA5143,0,0,1,1
PA5263,0,0,1,1
PA5277,0,0,1,1
PA1581,0,0,0,1
PA1582,0,0,0,1
PA1583,0,0,0,1
PA1584,0,0,0,1
